seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
1,0,2,500,0.47,5.23,1789620781356.5,0,forward,0
2,0,2,500,500.47,501.68,1789620781856.5,0,forward,0
3,0,2,500,1000.47,1001.47,1789620782356.5,0,forward,0
4,0,2,500,1500.47,1501.40,1789620782856.5,0,forward,0
5,0,2,500,2000.47,2001.32,1789620783356.5,0,forward,0
6,0,2,500,2501.52,2502.81,1789620783857.5,0,forward,0
7,0,2,500,3000.47,3001.48,1789620784356.5,0,forward,0
8,0,2,500,3500.47,3501.43,1789620784856.5,0,forward,0
9,0,2,500,4000.47,4001.31,1789620785356.5,0,forward,0
10,0,2,500,4500.47,4501.14,1789620785856.5,0,forward,0
11,1,2,500,4501.24,4501.94,1789620785857.2,0,forward,0
12,1,2,500,5001.24,5001.84,1789620786357.2,0,forward,0
13,1,2,500,5501.24,5502.15,1789620786857.2,0,forward,0
14,1,2,500,6001.24,6001.89,1789620787357.2,0,forward,0
15,1,2,500,6501.24,6501.98,1789620787857.2,0,forward,0
16,1,2,500,7001.24,7002.02,1789620788357.2,0,forward,0
17,1,2,500,7501.29,7501.85,1789620788857.3,0,forward,0
18,1,2,500,8001.35,8001.86,1789620789357.3,0,forward,0
19,1,2,500,8501.24,8501.93,1789620789857.2,0,forward,0
20,1,2,500,9001.24,9001.72,1789620790357.2,0,forward,0
