seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
5000,0,30,100,2.36,8.33,1789623337876.4,1,forward,0
5001,0,30,100,103.06,103.77,1789623337977.1,1,forward,0
5002,0,30,100,202.37,203.09,1789623338076.4,1,forward,0
5003,0,30,100,302.48,303.40,1789623338176.5,1,forward,0
5004,0,30,100,403.09,403.62,1789623338277.1,1,forward,0
5005,0,30,100,502.39,503.15,1789623338376.4,1,forward,0
5006,0,30,100,602.36,603.21,1789623338476.4,1,forward,0
5007,0,30,100,702.36,703.02,1789623338576.4,1,forward,0
5008,0,30,100,803.27,803.67,1789623338677.3,1,forward,0
5009,0,30,100,902.49,902.84,1789623338776.5,1,forward,0
5010,0,30,100,1002.52,1003.04,1789623338876.5,1,forward,0
5011,0,30,100,1102.39,1102.82,1789623338976.4,1,forward,0
5012,0,30,100,1202.36,1202.88,1789623339076.4,1,forward,0
5013,0,30,100,1302.37,1302.64,1789623339176.4,1,forward,0
5014,0,30,100,1402.36,1403.04,1789623339276.4,1,forward,0
5015,0,30,100,1502.37,1502.88,1789623339376.4,1,forward,0
5016,0,30,100,1602.90,1603.50,1789623339476.9,1,forward,0
5017,0,30,100,1702.44,1702.84,1789623339576.4,1,forward,0
5018,0,30,100,1802.36,1802.89,1789623339676.4,1,forward,0
5019,0,30,100,1902.36,1902.70,1789623339776.4,1,forward,0
5020,0,30,100,2002.36,2002.82,1789623339876.4,1,forward,0
5021,0,30,100,2103.20,2103.71,1789623339977.2,1,forward,0
5022,0,30,100,2202.38,2203.53,1789623340076.4,1,forward,0
5023,0,30,100,2302.36,2302.84,1789623340176.4,1,forward,0
5024,0,30,100,2403.18,2403.69,1789623340277.2,1,forward,0
5025,0,30,100,2502.36,2502.75,1789623340376.4,1,forward,0
5026,0,30,100,2602.36,2602.92,1789623340476.4,1,forward,0
5027,0,30,100,2702.36,2702.69,1789623340576.4,1,forward,0
5028,0,30,100,2802.36,2802.78,1789623340676.4,1,forward,0
5029,0,30,100,2902.36,2902.76,1789623340776.4,1,forward,0
5030,0,30,100,3002.36,3002.78,1789623340876.4,1,forward,0
5031,0,30,100,3102.37,3102.95,1789623340976.4,1,forward,0
5032,0,30,100,3202.36,3202.95,1789623341076.4,1,forward,0
5033,0,30,100,3302.36,3302.71,1789623341176.4,1,forward,0
5034,0,30,100,3402.36,3402.75,1789623341276.4,1,forward,0
5035,0,30,100,3502.36,3502.78,1789623341376.4,1,forward,0
5036,0,30,100,3602.37,3602.93,1789623341476.4,1,forward,0
5037,0,30,100,3702.36,3702.82,1789623341576.4,1,forward,0
5038,0,30,100,3802.36,3802.62,1789623341676.4,1,forward,0
5039,0,30,100,3902.36,3902.64,1789623341776.4,1,forward,0
5040,0,30,100,4002.36,4002.68,1789623341876.4,1,forward,0
5041,0,30,100,4102.36,4102.78,1789623341976.4,1,forward,0
5042,0,30,100,4202.36,4202.81,1789623342076.4,1,forward,0
5043,0,30,100,4302.36,4302.71,1789623342176.4,1,forward,0
5044,0,30,100,4402.36,4402.73,1789623342276.4,1,forward,0
5045,0,30,100,4502.36,4502.79,1789623342376.4,1,forward,0
5046,0,30,100,4603.21,4603.53,1789623342477.2,1,forward,0
5047,0,30,100,4702.36,4702.67,1789623342576.4,1,forward,0
5048,0,30,100,4802.36,4803.26,1789623342676.4,1,forward,0
5049,0,30,100,4902.82,4903.38,1789623342776.8,1,forward,0
5050,0,30,100,5003.10,5003.39,1789623342877.1,1,forward,0
5051,0,30,100,5103.17,5103.51,1789623342977.2,1,forward,0
5052,0,30,100,5202.36,5202.86,1789623343076.4,1,forward,0
5053,0,30,100,5302.36,5303.07,1789623343176.4,1,forward,0
5054,0,30,100,5402.36,5402.96,1789623343276.4,1,forward,0
5055,0,30,100,5502.36,5502.72,1789623343376.4,1,forward,0
5056,0,30,100,5602.36,5602.71,1789623343476.4,1,forward,0
5057,0,30,100,5702.36,5702.67,1789623343576.4,1,forward,0
5058,0,30,100,5802.36,5802.74,1789623343676.4,1,forward,0
5059,0,30,100,5902.36,5902.68,1789623343776.4,1,forward,0
5060,0,30,100,6002.66,6003.19,1789623343876.7,1,forward,0
5061,0,30,100,6102.47,6102.79,1789623343976.5,1,forward,0
5062,0,30,100,6202.36,6202.65,1789623344076.4,1,forward,0
5063,0,30,100,6303.20,6303.67,1789623344177.2,1,forward,0
5064,0,30,100,6402.36,6402.78,1789623344276.4,1,forward,0
5065,0,30,100,6502.37,6502.72,1789623344376.4,1,forward,0
5066,0,30,100,6603.29,6604.29,1789623344477.3,1,forward,0
5067,0,30,100,6702.36,6702.81,1789623344576.4,1,forward,0
5068,0,30,100,6802.43,6802.73,1789623344676.4,1,forward,0
5069,0,30,100,6902.38,6902.69,1789623344776.4,1,forward,0
5070,0,30,100,7002.36,7002.85,1789623344876.4,1,forward,0
5071,0,30,100,7102.38,7102.63,1789623344976.4,1,forward,0
5072,0,30,100,7202.45,7202.79,1789623345076.4,1,forward,0
5073,0,30,100,7302.36,7302.69,1789623345176.4,1,forward,0
5074,0,30,100,7402.36,7402.65,1789623345276.4,1,forward,0
5075,0,30,100,7502.36,7502.66,1789623345376.4,1,forward,0
5076,0,30,100,7602.36,7602.71,1789623345476.4,1,forward,0
5077,0,30,100,7702.37,7702.66,1789623345576.4,1,forward,0
5078,0,30,100,7802.36,7802.64,1789623345676.4,1,forward,0
5079,0,30,100,7902.36,7902.66,1789623345776.4,1,forward,0
5080,0,30,100,8002.47,8002.87,1789623345876.5,1,forward,0
5081,0,30,100,8102.36,8102.67,1789623345976.4,1,forward,0
5082,0,30,100,8202.43,8202.73,1789623346076.4,1,forward,0
5083,0,30,100,8302.36,8302.88,1789623346176.4,1,forward,0
5084,0,30,100,8402.36,8402.73,1789623346276.4,1,forward,0
5085,0,30,100,8502.36,8502.88,1789623346376.4,1,forward,0
5086,0,30,100,8602.36,8602.70,1789623346476.4,1,forward,0
5087,0,30,100,8702.36,8702.74,1789623346576.4,1,forward,0
5088,0,30,100,8802.36,8802.71,1789623346676.4,1,forward,0
5089,0,30,100,8902.36,8902.90,1789623346776.4,1,forward,0
5090,0,30,100,9002.36,9003.37,1789623346876.4,1,forward,0
5091,0,30,100,9102.36,9102.75,1789623346976.4,1,forward,0
5092,0,30,100,9202.36,9202.60,1789623347076.4,1,forward,0
5093,0,30,100,9302.37,9302.70,1789623347176.4,1,forward,0
5094,0,30,100,9402.36,9402.79,1789623347276.4,1,forward,0
5095,0,30,100,9502.36,9502.93,1789623347376.4,1,forward,0
5096,0,30,100,9602.38,9602.67,1789623347476.4,1,forward,0
5097,0,30,100,9702.49,9702.87,1789623347576.5,1,forward,0
5098,0,30,100,9802.36,9802.92,1789623347676.4,1,forward,0
5099,0,30,100,9902.36,9902.84,1789623347776.4,1,forward,0
5100,0,30,100,10002.36,10002.86,1789623347876.4,1,forward,0
5101,0,30,100,10102.36,10103.28,1789623347976.4,1,forward,0
5102,0,30,100,10202.36,10202.72,1789623348076.4,1,forward,0
5103,0,30,100,10302.36,10302.77,1789623348176.4,1,forward,0
5104,0,30,100,10402.53,10402.88,1789623348276.5,1,forward,0
5105,0,30,100,10502.36,10502.92,1789623348376.4,1,forward,0
5106,0,30,100,10602.36,10603.11,1789623348476.4,1,forward,0
5107,0,30,100,10702.36,10703.12,1789623348576.4,1,forward,0
5108,0,30,100,10802.36,10802.76,1789623348676.4,1,forward,0
5109,0,30,100,10902.36,10902.72,1789623348776.4,1,forward,0
5110,0,30,100,11002.91,11003.25,1789623348876.9,1,forward,0
5111,0,30,100,11102.45,11102.75,1789623348976.5,1,forward,0
5112,0,30,100,11202.36,11202.75,1789623349076.4,1,forward,0
5113,0,30,100,11302.43,11303.19,1789623349176.4,1,forward,0
5114,0,30,100,11402.37,11402.73,1789623349276.4,1,forward,0
5115,0,30,100,11502.36,11502.65,1789623349376.4,1,forward,0
5116,0,30,100,11602.36,11602.95,1789623349476.4,1,forward,0
5117,0,30,100,11702.36,11702.62,1789623349576.4,1,forward,0
5118,0,30,100,11802.36,11802.62,1789623349676.4,1,forward,0
5119,0,30,100,11902.36,11902.74,1789623349776.4,1,forward,0
5120,0,30,100,12002.46,12002.85,1789623349876.5,1,forward,0
5121,0,30,100,12102.36,12102.63,1789623349976.4,1,forward,0
5122,0,30,100,12202.36,12202.76,1789623350076.4,1,forward,0
5123,0,30,100,12302.36,12302.65,1789623350176.4,1,forward,0
5124,0,30,100,12402.36,12402.62,1789623350276.4,1,forward,0
5125,0,30,100,12502.36,12502.79,1789623350376.4,1,forward,0
5126,0,30,100,12602.36,12603.00,1789623350476.4,1,forward,0
5127,0,30,100,12702.36,12702.72,1789623350576.4,1,forward,0
5128,0,30,100,12802.36,12802.79,1789623350676.4,1,forward,0
5129,0,30,100,12902.39,12902.66,1789623350776.4,1,forward,0
5130,0,30,100,13002.36,13002.58,1789623350876.4,1,forward,0
5131,0,30,100,13102.36,13102.60,1789623350976.4,1,forward,0
5132,0,30,100,13202.36,13202.81,1789623351076.4,1,forward,0
5133,0,30,100,13302.36,13302.84,1789623351176.4,1,forward,0
5134,0,30,100,13402.36,13402.70,1789623351276.4,1,forward,0
5135,0,30,100,13502.36,13502.70,1789623351376.4,1,forward,0
5136,0,30,100,13602.36,13602.60,1789623351476.4,1,forward,0
5137,0,30,100,13702.36,13702.67,1789623351576.4,1,forward,0
5138,0,30,100,13802.36,13802.61,1789623351676.4,1,forward,0
5139,0,30,100,13902.37,13902.67,1789623351776.4,1,forward,0
