seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
20000,0,50,150,1.35,6.52,1789623677909.4,0,forward,0
20001,0,50,150,151.35,152.70,1789623678059.4,0,forward,0
20002,0,50,150,301.35,303.01,1789623678209.4,0,forward,0
20003,0,50,150,451.35,453.13,1789623678359.4,0,forward,0
20004,0,50,150,601.35,602.73,1789623678509.4,0,forward,0
20005,0,50,150,751.38,752.49,1789623678659.4,0,forward,0
20006,0,50,150,901.35,902.51,1789623678809.4,0,forward,0
20007,0,50,150,1051.35,1052.91,1789623678959.4,0,forward,0
20008,0,50,150,1201.35,1202.18,1789623679109.4,0,forward,0
20009,0,50,150,1351.35,1352.27,1789623679259.4,0,forward,0
20010,0,50,150,1501.51,1502.51,1789623679409.5,0,forward,0
20011,0,50,150,1651.35,1652.05,1789623679559.4,0,forward,0
20012,0,50,150,1801.35,1802.41,1789623679709.4,0,forward,0
20013,0,50,150,1951.35,1952.10,1789623679859.4,0,forward,0
20014,0,50,150,2101.47,2102.12,1789623680009.5,0,forward,0
20015,0,50,150,2251.35,2252.46,1789623680159.4,0,forward,0
20016,0,50,150,2401.35,2401.85,1789623680309.4,0,forward,0
20017,0,50,150,2551.35,2552.09,1789623680459.4,0,forward,0
20018,0,50,150,2701.35,2702.50,1789623680609.4,0,forward,0
20019,0,50,150,2851.35,2851.95,1789623680759.4,0,forward,0
20020,0,50,150,3001.35,3002.23,1789623680909.4,0,forward,0
20021,0,50,150,3151.35,3152.06,1789623681059.4,0,forward,0
20022,0,50,150,3301.35,3302.68,1789623681209.4,0,forward,0
20023,0,50,150,3451.35,3452.35,1789623681359.4,0,forward,0
20024,0,50,150,3601.35,3602.25,1789623681509.4,0,forward,0
20025,0,50,150,3751.35,3752.40,1789623681659.4,0,forward,0
20026,0,50,150,3901.35,3902.29,1789623681809.4,0,forward,0
20027,0,50,150,4051.35,4052.21,1789623681959.4,0,forward,0
20028,0,50,150,4201.35,4202.23,1789623682109.4,0,forward,0
20029,0,50,150,4351.35,4352.57,1789623682259.4,0,forward,0
20030,0,50,150,4501.37,4502.36,1789623682409.4,0,forward,0
20031,0,50,150,4651.35,4652.26,1789623682559.4,0,forward,0
20032,0,50,150,4801.35,4802.19,1789623682709.4,0,forward,0
