# session 200115 k 128 groups 4 chunks 2048 rate 200 passes 5 maxbytes 1400
send,tStartMs,tEndMs,datagrams,bytes,firstChunk
0,0.004,1.200,4,5144,0
1,5.000,5.958,4,5144,4
2,10.000,10.337,4,5144,8
3,15.000,15.620,4,5144,12
4,20.000,20.232,4,5144,16
5,25.000,25.213,4,5144,20
6,30.000,30.217,4,5144,24
7,35.000,35.227,4,5144,28
8,40.000,40.331,4,5144,32
9,45.014,45.338,4,5144,36
10,50.000,50.212,4,5144,40
11,55.000,55.297,4,5144,44
12,60.000,60.208,4,5144,48
13,65.000,65.254,4,5144,52
14,70.000,70.270,4,5144,56
15,75.000,75.248,4,5144,60
16,80.000,80.306,4,5144,64
17,85.000,85.190,4,5144,68
18,90.000,90.290,4,5144,72
19,95.000,95.293,4,5144,76
20,100.000,100.325,4,5144,80
21,105.000,105.183,4,5144,84
22,110.000,110.199,4,5144,88
23,115.000,115.312,4,5144,92
24,120.000,120.220,4,5144,96
25,125.000,125.321,4,5144,100
26,130.000,130.279,4,5144,104
27,135.000,135.180,4,5144,108
28,140.000,140.265,4,5144,112
29,145.006,145.293,4,5144,116
30,150.000,150.283,4,5144,120
31,155.000,155.288,4,5144,124
32,160.000,160.320,4,5144,128
33,165.000,165.192,4,5144,132
34,170.000,170.179,4,5144,136
35,175.000,175.193,4,5144,140
36,180.000,180.231,4,5144,144
37,185.000,185.179,4,5144,148
38,190.000,190.259,4,5144,152
39,195.000,195.176,4,5144,156
40,200.000,200.331,4,5144,160
41,205.000,205.427,4,5144,164
42,210.000,210.221,4,5144,168
43,215.000,215.223,4,5144,172
44,220.000,220.247,4,5144,176
45,225.000,225.188,4,5144,180
46,230.000,230.216,4,5144,184
47,235.000,235.151,4,5144,188
48,240.000,240.393,4,5144,192
49,245.000,245.175,4,5144,196
50,250.036,250.292,4,5144,200
51,255.000,255.140,4,5144,204
52,260.000,260.204,4,5144,208
53,265.000,265.217,4,5144,212
54,270.000,270.167,4,5144,216
55,275.000,275.202,4,5144,220
56,280.000,280.271,4,5144,224
57,285.000,285.366,4,5144,228
58,290.000,290.159,4,5144,232
59,295.000,295.156,4,5144,236
60,300.000,300.141,4,5144,240
61,305.000,305.192,4,5144,244
62,310.000,310.200,4,5144,248
63,315.000,315.214,4,5144,252
64,320.000,320.158,4,5144,256
65,325.000,325.201,4,5144,260
66,330.000,330.137,4,5144,264
67,335.000,335.328,4,5144,268
68,340.000,340.287,4,5144,272
69,345.000,345.130,4,5144,276
70,350.000,350.123,4,5144,280
71,355.000,355.127,4,5144,284
72,360.000,360.152,4,5144,288
73,365.000,365.213,4,5144,292
74,370.000,370.134,4,5144,296
75,375.000,375.154,4,5144,300
76,380.004,380.145,4,5144,304
77,385.000,385.131,4,5144,308
78,390.000,390.170,4,5144,312
79,395.000,395.192,4,5144,316
80,400.000,400.202,4,5144,320
81,405.000,405.167,4,5144,324
82,410.000,410.135,4,5144,328
83,415.000,415.135,4,5144,332
84,420.000,420.130,4,5144,336
85,425.000,425.157,4,5144,340
86,430.000,430.209,4,5144,344
87,435.000,435.136,4,5144,348
88,440.000,440.236,4,5144,352
89,445.000,445.135,4,5144,356
90,450.000,450.176,4,5144,360
91,455.000,455.161,4,5144,364
92,460.000,460.133,4,5144,368
93,465.000,465.129,4,5144,372
94,470.000,470.199,4,5144,376
95,475.000,475.127,4,5144,380
96,480.000,480.235,4,5144,384
97,485.000,485.140,4,5144,388
98,490.000,490.151,4,5144,392
99,495.000,495.142,4,5144,396
100,500.000,500.133,4,5144,400
101,505.000,505.332,4,5144,404
102,510.000,510.160,4,5144,408
103,515.000,515.231,4,5144,412
104,520.000,520.212,4,5144,416
105,525.000,525.181,4,5144,420
106,530.000,530.207,4,5144,424
107,535.000,535.220,4,5144,428
108,540.000,540.128,4,5144,432
109,545.000,545.146,4,5144,436
110,550.000,550.146,4,5144,440
111,555.046,555.195,4,5144,444
112,560.000,560.169,4,5144,448
113,565.000,565.181,4,5144,452
114,570.000,570.126,4,5144,456
115,575.000,575.131,4,5144,460
116,580.000,580.163,4,5144,464
117,585.000,585.127,4,5144,468
118,590.000,590.127,4,5144,472
119,595.000,595.243,4,5144,476
120,600.000,600.197,4,5144,480
121,605.000,605.207,4,5144,484
122,610.000,610.154,4,5144,488
123,615.000,615.147,4,5144,492
124,620.000,620.196,4,5144,496
125,625.000,625.214,4,5144,500
126,630.001,630.253,4,5144,504
127,635.000,635.236,4,5144,508
128,640.000,640.160,4,5144,512
129,645.000,645.121,4,5144,516
130,650.000,650.125,4,5144,520
131,655.000,655.137,4,5144,524
132,660.000,660.122,4,5144,528
133,665.000,665.154,4,5144,532
134,670.000,670.134,4,5144,536
135,675.000,675.125,4,5144,540
136,680.000,680.133,4,5144,544
137,685.000,685.132,4,5144,548
138,690.000,690.134,4,5144,552
139,695.000,695.123,4,5144,556
140,700.000,700.146,4,5144,560
141,705.000,705.129,4,5144,564
142,710.000,710.153,4,5144,568
143,715.000,715.156,4,5144,572
144,720.000,720.207,4,5144,576
145,725.000,725.126,4,5144,580
146,730.000,730.135,4,5144,584
147,735.000,735.226,4,5144,588
148,740.005,740.153,4,5144,592
149,745.000,745.167,4,5144,596
150,750.000,750.121,4,5144,600
151,755.000,755.116,4,5144,604
152,760.000,760.186,4,5144,608
153,765.000,765.121,4,5144,612
154,770.000,770.319,4,5144,616
155,775.000,775.120,4,5144,620
156,780.000,780.158,4,5144,624
157,785.000,785.141,4,5144,628
158,790.000,790.125,4,5144,632
159,795.000,795.117,4,5144,636
160,800.000,800.143,4,5144,640
161,805.000,805.138,4,5144,644
162,810.084,810.208,4,5144,648
163,815.000,815.118,4,5144,652
164,820.000,820.200,4,5144,656
165,825.000,825.113,4,5144,660
166,830.000,830.144,4,5144,664
167,835.000,835.145,4,5144,668
168,840.000,840.124,4,5144,672
169,845.000,845.158,4,5144,676
170,850.000,850.149,4,5144,680
171,855.000,855.159,4,5144,684
172,860.012,860.143,4,5144,688
173,865.000,865.192,4,5144,692
174,870.000,870.117,4,5144,696
175,875.000,875.163,4,5144,700
176,880.000,880.152,4,5144,704
177,885.000,885.110,4,5144,708
178,890.000,890.110,4,5144,712
179,895.000,895.117,4,5144,716
180,900.000,900.109,4,5144,720
181,905.000,905.168,4,5144,724
182,910.000,910.171,4,5144,728
