t,msssimc_ref,psnr_ref,msssimc_last,psnr_last,meanY
140.00,0.1519,10.50,0.1798,13.36,82.1
140.10,0.1519,10.50,0.1797,13.36,82.1
140.20,0.1630,10.54,0.1913,13.58,81.0
140.30,0.1657,10.57,0.2801,13.80,78.9
140.40,0.2551,10.60,0.3055,13.91,78.0
140.50,0.2816,10.11,0.3295,13.43,73.3
140.60,0.2750,10.38,0.3259,14.00,73.2
140.70,0.1574,10.19,0.1897,13.70,72.7
140.80,0.2802,10.08,0.3467,13.82,69.3
140.90,0.3152,10.09,0.3832,13.97,67.6
141.00,0.3237,10.06,0.3917,14.05,66.2
141.10,0.3128,10.15,0.3820,14.17,67.0
141.20,0.3334,10.33,0.4012,14.38,68.3
141.30,0.3173,10.51,0.3799,14.40,72.1
141.40,0.3191,10.61,0.3808,14.28,74.5
141.50,0.3181,10.73,0.3763,14.42,75.7
141.60,0.3288,10.60,0.3897,14.22,75.8
141.70,0.3246,10.57,0.3864,14.14,76.2
141.80,0.3185,10.60,0.3779,14.18,76.3
141.90,0.2672,10.73,0.3171,14.48,75.8
142.00,0.2981,10.84,0.3559,14.68,75.5
142.10,0.1642,10.67,0.2981,14.02,79.6
142.20,0.2843,10.58,0.3494,13.65,81.8
142.30,0.2814,10.62,0.3517,13.79,80.5
142.40,0.2547,10.10,0.3294,13.45,73.7
142.50,0.1544,9.97,0.1843,13.01,76.0
142.60,0.2441,10.29,0.2983,13.29,77.3
142.70,0.2598,10.70,0.3083,13.81,78.4
142.80,0.1497,10.50,0.1771,13.33,82.8
142.90,0.2014,10.38,0.2464,12.93,87.4
143.00,0.2354,10.16,0.2825,12.87,83.0
143.10,0.2155,10.26,0.2634,13.52,75.4
143.20,0.2024,10.08,0.2382,13.23,75.6
143.30,0.1861,10.30,0.2327,13.26,79.2
143.40,0.2774,10.82,0.3216,14.04,79.6
143.50,0.1952,10.04,0.2335,13.31,73.7
143.60,0.1956,10.02,0.2337,13.30,73.6
143.70,0.1827,10.03,0.2211,13.34,73.4
143.80,0.2352,10.15,0.2807,13.68,71.8
143.90,0.2323,10.14,0.2786,13.65,71.9
144.00,0.1812,9.99,0.2178,13.26,73.2
144.10,0.1062,9.90,0.1441,13.12,73.0
144.20,0.1211,9.78,0.1479,12.84,74.0
144.30,0.1016,9.82,0.1190,12.82,76.1
144.40,0.1014,9.85,0.1194,12.87,75.9
144.50,0.1016,9.89,0.1195,12.97,75.3
144.60,0.1015,9.88,0.1194,12.97,75.3
144.70,0.1015,9.88,0.1194,12.97,75.3
144.80,0.1915,10.32,0.2319,13.47,77.5
144.90,0.2004,10.33,0.2400,13.50,77.5
145.00,0.2004,10.33,0.2400,13.50,77.5
