frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
0,0.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67887,1
0,0.00,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68237,1
1,16.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67889,1
1,16.67,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68239,1
2,33.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67891,1
2,33.33,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68241,1
3,50.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67893,1
3,50.00,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68243,1
4,66.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67895,1
4,66.67,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68245,1
5,83.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67897,1
5,83.33,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68247,1
6,100.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67899,1
6,100.00,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68249,1
7,116.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67901,1
7,116.67,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68251,1
8,133.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67903,1
8,133.33,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68253,1
9,150.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67905,1
9,150.00,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68255,1
10,166.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67907,1
10,166.67,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68257,1
11,183.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67909,1
11,183.33,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68259,1
12,200.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67911,1
12,200.00,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68261,1
13,216.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67913,1
13,216.67,1,1280,340,190,166,300,0,6,1,1,0,1,0,0,68263,1
14,233.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67915,1
