
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e9.8.6-c565a2-r256-n1000     18 |  0.746  0.816  0.886  0.923  0.949  0.960  0.959 | 0.891
 prim   t7-c565a2-r128-n1000         18 |  0.748  0.818  0.887  0.923  0.948  0.946  0.942 | 0.889
 prim   t7-c565a2-r256-n1000         18 |  0.744  0.813  0.886  0.921  0.947  0.946  0.948 | 0.887
*pw     n100-t7-c565a2-r128-L48-12   18 |  0.747  0.815  0.887  0.923  0.944  0.958  0.956 | 0.890
 pw     n300-t7-c565a2-r128-L48-12   18 |  0.749  0.818  0.883  0.907  0.926  0.943  0.948 | 0.882
 pw     n300-t7-c565a2-r128-L48-16-5   18 |  0.749  0.818  0.883  0.907  0.926  0.943  0.948 | 0.881
*wavl   L48-12                       18 |  0.730  0.809  0.890  0.922  0.943  0.962  0.972 | 0.889
 wavl   L48-16-5                     18 |  0.730  0.809  0.890  0.922  0.943  0.959  0.964 | 0.888
 wavl   L24-6                        18 |  0.700  0.784  0.872  0.919  0.944  0.959  0.968 | 0.877
*dctv   r128-s1                      18 |  0.676  0.781  0.886  0.932  0.940  0.938  0.935 | 0.874
 dctv   r128-s2                      18 |  0.697  0.809  0.897  0.908  0.923  0.916  0.910 | 0.872
 dctv   r256-s4                      18 |  0.651  0.791  0.885  0.923  0.936  0.931  0.933 | 0.870
 dctv   r256-s2                      18 |  0.580  0.770  0.873  0.929  0.955  0.960  0.959 | 0.867
 dctv   r128-s4                      18 |  0.730  0.826  0.869  0.874  0.883  0.877  0.873 | 0.853
 dctv   r256-s1                      18 |  0.538  0.737  0.850  0.920  0.954  0.971  0.974 | 0.853
*pal    g64-k5                       18 |  0.566  0.733  0.816  0.909  0.912  0.910  0.912 | 0.828
 pal    g64-k3                       18 |  0.661  0.742  0.863  0.867  0.871  0.867  0.743 | 0.819
 pal    g128-k3                      18 |  0.586  0.662  0.825  0.851  0.918  0.921  0.922 | 0.811
 pal    g32-k5                       18 |  0.645  0.777  0.816  0.814  0.818  0.815  0.816 | 0.794
 pal    g128-k5                      18 |  0.503  0.646  0.742  0.870  0.907  0.965  0.966 | 0.793
 pal    g32-k3                       18 |  0.716  0.769  0.782  0.776  0.780  0.777  0.767 | 0.771
*raw    g32-b3-lattice               18 |  0.608  0.649  0.788  0.786  0.790  0.791  0.782 | 0.745
 raw    g64-b2-lattice               18 |  0.515  0.642  0.708  0.803  0.805  0.803  0.804 | 0.729
 raw    g32-b2-lattice               18 |  0.587  0.698  0.722  0.723  0.725  0.727  0.726 | 0.707
 raw    g32-b2-rows2                 18 |  0.563  0.670  0.719  0.723  0.726  0.727  0.726 | 0.700
 raw    g16-b3-lattice               18 |  0.651  0.668  0.669  0.663  0.669  0.661  0.659 | 0.665
 raw    g16-b2-rows2                 18 |  0.623  0.617  0.623  0.623  0.622  0.623  0.597 | 0.620

=== B=128 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e8.7.6-c565a2-r256-n1000     18 |  0.680  0.751  0.835  0.883  0.920  0.948  0.956 | 0.849
 prim   e8.7.6-c565a2-r128-n1000     18 |  0.681  0.754  0.835  0.883  0.918  0.945  0.953 | 0.849
 prim   t7-c444a2-r256-n1000         18 |  0.667  0.744  0.826  0.875  0.911  0.934  0.945 | 0.840
*pw     n100-e8.7.6-c565a2-r128-L48-16-5   18 |  0.683  0.754  0.834  0.886  0.922  0.945  0.955 | 0.850
 pw     n300-e8.7.6-c565a2-r128-L48-16-5   18 |  0.682  0.754  0.832  0.871  0.898  0.924  0.934 | 0.839
*wavl   L48-12                       18 |  0.640  0.729  0.833  0.889  0.921  0.944  0.955 | 0.842
 wavl   L48-16-5                     18 |  0.640  0.729  0.833  0.889  0.922  0.943  0.952 | 0.841
 wavl   L24-6                        18 |  0.611  0.702  0.803  0.868  0.912  0.939  0.949 | 0.822
*dctv   r128-s2                      18 |  0.615  0.687  0.819  0.888  0.913  0.913  0.910 | 0.820
