
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   t7-c565a2-r128-n1000         18 |  0.712  0.784  0.856  0.901  0.932  0.956  0.959 | 0.869
 prim   t7-c565a2-r256-n1000         18 |  0.707  0.781  0.856  0.900  0.932  0.957  0.960 | 0.868
 prim   e9.8.6-c565a2-r256-n1000     18 |  0.714  0.779  0.853  0.896  0.930  0.956  0.960 | 0.866
*pal    g64-k3                       18 |  0.592  0.728  0.802  0.861  0.871  0.871  0.871 | 0.804
 pal    g64-k5                       18 |  0.544  0.624  0.768  0.874  0.911  0.915  0.915 | 0.790
 pal    g128-k3                      18 |  0.522  0.645  0.742  0.819  0.877  0.920  0.925 | 0.773
 pal    g32-k5                       18 |  0.612  0.693  0.802  0.818  0.818  0.818  0.818 | 0.773
 pal    g32-k3                       18 |  0.665  0.768  0.782  0.782  0.782  0.782  0.782 | 0.770
 pal    g128-k5                      18 |  0.486  0.551  0.682  0.824  0.869  0.942  0.964 | 0.744
*dctf   r128-s2                      18 |  0.623  0.680  0.806  0.866  0.888  0.923  0.924 | 0.811
 dctf   r128-s4                      18 |  0.648  0.697  0.821  0.858  0.884  0.886  0.886 | 0.811
 dctf   r128-s1                      18 |  0.588  0.657  0.784  0.849  0.891  0.941  0.946 | 0.801
 dctf   r256-s4                      18 |  0.431  0.562  0.701  0.767  0.815  0.831  0.921 | 0.710
 dctf   r256-s2                      18 |  0.413  0.524  0.684  0.740  0.802  0.829  0.836 | 0.686
 dctf   r256-s1                      18 |  0.407  0.487  0.682  0.739  0.803  0.837  0.849 | 0.680
*dctv   r128-s2                      18 |  0.671  0.756  0.862  0.908  0.923  0.924  0.924 | 0.854
 dctv   r128-s1                      18 |  0.653  0.720  0.840  0.902  0.940  0.946  0.946 | 0.847
 dctv   r128-s4                      18 |  0.688  0.783  0.861  0.885  0.886  0.886  0.886 | 0.844
 dctv   r256-s4                      18 |  0.571  0.718  0.814  0.869  0.916  0.940  0.942 | 0.825
 dctv   r256-s2                      18 |  0.506  0.649  0.775  0.841  0.888  0.959  0.968 | 0.792
 dctv   r256-s1                      18 |  0.465  0.601  0.747  0.815  0.860  0.917  0.963 | 0.759
*wav    q24-rd                       18 |  0.668  0.751  0.843  0.898  0.932  0.957  0.970 | 0.856
 wav    q24                          18 |  0.644  0.741  0.838  0.900  0.932  0.957  0.970 | 0.852
 wav    q12-rd                       18 |  0.645  0.733  0.826  0.882  0.923  0.950  0.966 | 0.842
 wav    q12                          18 |  0.613  0.723  0.819  0.884  0.925  0.952  0.966 | 0.837
 wav    q6-rd                        18 |  0.631  0.718  0.809  0.868  0.910  0.941  0.956 | 0.828
 wav    q6                           18 |  0.593  0.707  0.803  0.861  0.909  0.941  0.953 | 0.820
*wavs   q24-m4-rd                    18 |  0.647  0.735  0.817  0.867  0.899  0.938  0.962 | 0.832
 wavs   q24-m4                       18 |  0.644  0.729  0.812  0.870  0.901  0.939  0.964 | 0.831
 wavs   q12-m4                       18 |  0.614  0.708  0.793  0.852  0.890  0.918  0.940 | 0.812
 wavs   q12-m4-rd                    18 |  0.619  0.711  0.791  0.846  0.885  0.912  0.937 | 0.809
 wavs   q6-m4-rd                     18 |  0.618  0.698  0.779  0.835  0.875  0.904  0.919 | 0.799
 wavs   q6-m4                        18 |  0.595  0.694  0.778  0.831  0.875  0.906  0.919 | 0.796
 wavs   q24-m16                      18 |  0.646  0.712  0.751  0.789  0.812  0.891  0.946 | 0.780
 wavs   q24-m16-rd                   18 |  0.646  0.712  0.751  0.788  0.810  0.890  0.945 | 0.779
 wavs   q12-m16-rd                   18 |  0.614  0.690  0.735  0.773  0.800  0.827  0.873 | 0.753
 wavs   q12-m16                      18 |  0.614  0.690  0.735  0.772  0.799  0.827  0.873 | 0.752
 wavs   q6-m16-rd                    18 |  0.596  0.671  0.711  0.746  0.776  0.803  0.818 | 0.728
 wavs   q6-m16                       18 |  0.596  0.671  0.712  0.743  0.774  0.802  0.816 | 0.727
*wavl   L48-12                       18 |  0.693  0.772  0.864  0.907  0.932  0.953  0.968 | 0.867
 wavl   L48-16-5                     18 |  0.693  0.772  0.864  0.907  0.932  0.954  0.962 | 0.867
 wavl   L24-6                        18 |  0.669  0.750  0.842  0.897  0.932  0.952  0.961 | 0.855
*pw     n100-t7-c565a2-r128-L48-12   18 |  0.712  0.785  0.860  0.910  0.936  0.957  0.970 | 0.873
 pw     n300-t7-c565a2-r128-L48-16-5   18 |  0.712  0.786  0.853  0.897  0.939  0.962  0.971 | 0.870
 pw     n300-t7-c565a2-r128-L48-12   18 |  0.712  0.786  0.853  0.897  0.939  0.961  0.972 | 0.870
*palq   k4-r128                      18 |  0.598  0.686  0.767  0.819  0.865  0.944  0.953 | 0.795
 palq   k5-r128                      18 |  0.543  0.658  0.758  0.820  0.867  0.933  0.962 | 0.783
 palq   k4-r256                      18 |  0.578  0.663  0.743  0.791  0.828  0.861  0.881 | 0.758
 palq   k5-r256                      18 |  0.528  0.635  0.719  0.781  0.826  0.863  0.883 | 0.742
*tile   T16-L48-12-t10               18 |  0.692  0.773  0.862  0.906  0.932  0.953  0.968 | 0.867
 tile   T32-L48-12-t5                18 |  0.691  0.770  0.864  0.907  0.932  0.953  0.968 | 0.867
 tile   T32-L48-12-t10               18 |  0.692  0.771  0.863  0.906  0.931  0.953  0.968 | 0.867
 tile   T64-L48-12-t10               18 |  0.694  0.769  0.861  0.907  0.932  0.953  0.968 | 0.866
 tile   T32-L48-12-t40               18 |  0.684  0.760  0.850  0.901  0.931  0.953  0.967 | 0.860
 tile   T32-L48-12-t20               18 |  0.684  0.760  0.850  0.901  0.931  0.952  0.967 | 0.860

=== B=128 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e8.7.6-c565a2-r128-n1000     18 |  0.642  0.714  0.798  0.852  0.894  0.927  0.942 | 0.818
 prim   e8.7.6-c565a2-r256-n1000     18 |  0.638  0.711  0.796  0.851  0.894  0.928  0.944 | 0.817
 prim   t7-c444a2-r256-n1000         18 |  0.630  0.703  0.795  0.852  0.897  0.929  0.944 | 0.815
*pal    g64-k3                       18 |  0.531  0.585  0.719  0.790  0.864  0.871  0.871 | 0.741
 pal    g32-k3                       18 |  0.598  0.657  0.764  0.781  0.782  0.782  0.782 | 0.738
 pal    g32-k5                       18 |  0.392  0.598  0.734  0.812  0.818  0.818  0.818 | 0.721
 pal    g64-k5                       18 |  0.369  0.520  0.664  0.761  0.865  0.911  0.914 | 0.707
 pal    g128-k3                      18 |  0.476  0.518  0.640  0.732  0.814  0.867  0.913 | 0.691
 pal    g128-k5                      18 |  0.383  0.464  0.581  0.670  0.806  0.864  0.899 | 0.648
*dctf   r128-s4                      18 |  0.500  0.608  0.681  0.773  0.813  0.865  0.884 | 0.724
 dctf   r128-s2                      18 |  0.467  0.580  0.656  0.756  0.815  0.840  0.919 | 0.707
 dctf   r128-s1                      18 |  0.447  0.560  0.646  0.744  0.807  0.852  0.861 | 0.694
 dctf   r256-s4                      18 |  0.389  0.426  0.605  0.714  0.774  0.830  0.841 | 0.640
 dctf   r256-s2                      18 |  0.387  0.411  0.571  0.712  0.772  0.836  0.856 | 0.632
 dctf   r256-s1                      18 |  0.387  0.403  0.540  0.703  0.753  0.821  0.847 | 0.617
*dctv   r128-s4                      18 |  0.596  0.671  0.790  0.851  0.884  0.886  0.886 | 0.794
 dctv   r128-s2                      18 |  0.552  0.646  0.759  0.836  0.900  0.923  0.924 | 0.786
 dctv   r128-s1                      18 |  0.519  0.618  0.712  0.802  0.864  0.936  0.943 | 0.759
 dctv   r256-s4                      18 |  0.437  0.541  0.704  0.771  0.825  0.904  0.937 | 0.719
 dctv   r256-s2                      18 |  0.400  0.480  0.661  0.747  0.813  0.861  0.920 | 0.683
 dctv   r256-s1                      18 |  0.393  0.446  0.620  0.735  0.798  0.850  0.867 | 0.659
*wav    q24-rd                       18 |  0.582  0.663  0.766  0.832  0.886  0.922  0.940 | 0.791
 wav    q24                          18 |  0.572  0.636  0.761  0.830  0.891  0.925  0.942 | 0.785
 wav    q12-rd                       18 |  0.573  0.651  0.753  0.818  0.872  0.915  0.932 | 0.779
 wav    q12                          18 |  0.567  0.606  0.734  0.813  0.875  0.919  0.937 | 0.767
 wav    q6-rd                        18 |  0.564  0.634  0.737  0.804  0.858  0.902  0.921 | 0.765
 wav    q6                           18 |  0.567  0.590  0.718  0.799  0.853  0.906  0.926 | 0.752
*wavs   q24-m4-rd                    18 |  0.574  0.639  0.728  0.796  0.847  0.881  0.907 | 0.758
 wavs   q24-m4                       18 |  0.572  0.625  0.729  0.792  0.849  0.881  0.908 | 0.755
 wavs   q12-m4-rd                    18 |  0.565  0.623  0.714  0.781  0.834  0.874  0.891 | 0.745
 wavs   q12-m4                       18 |  0.567  0.600  0.710  0.781  0.838  0.880  0.896 | 0.742
 wavs   q6-m4                        18 |  0.567  0.587  0.697  0.771  0.821  0.869  0.889 | 0.730
 wavs   q6-m4-rd                     18 |  0.544  0.605  0.702  0.762  0.817  0.860  0.879 | 0.729
 wavs   q24-m16                      18 |  0.573  0.606  0.648  0.690  0.731  0.760  0.805 | 0.677
 wavs   q24-m16-rd                   18 |  0.573  0.606  0.648  0.692  0.729  0.759  0.805 | 0.677
 wavs   q12-m16                      18 |  0.568  0.589  0.648  0.693  0.735  0.770  0.784 | 0.675
